Date,USGG10YR Index,USGG3M Index,USGG2YR Index,USGG5YR Index,USGG30YR Index,USGG12M Index,USGG20YR Index
2026/4/29,4.3896,3.6723,3.8832,4.0247,4.9699,3.7097,4.9641
2026/4/28,4.3455,3.6654,3.836,3.9776,4.9337,3.6894,4.9218
2026/4/27,4.3395,3.672,3.7972,3.9484,4.9461,3.675,4.9269
2026/4/24,4.3007,3.6734,3.7783,3.9149,4.9071,3.658,4.8862
2026/4/23,4.3244,3.675,3.8337,3.9589,4.9112,3.6893,4.9026
2026/4/22,4.3025,3.672,3.7979,3.9255,4.904,3.6783,4.8886
2026/4/21,4.2916,3.6707,3.7791,3.9096,4.8999,3.6749,4.881
2026/4/20,4.251,3.6748,3.7205,3.8553,4.8786,3.6416,4.8494
2026/4/17,4.248,3.6786,3.7082,3.8466,4.8836,3.6264,4.8519
2026/4/16,4.3112,3.6906,3.7737,3.9184,4.9326,3.6789,4.9114
2026/4/15,4.2834,3.6957,3.7614,3.8939,4.8979,3.6847,4.8771
2026/4/14,4.2479,3.6699,3.7449,3.866,4.8603,3.6681,4.8367
2026/4/13,4.2933,3.683,3.7722,3.9097,4.8968,3.6674,4.8771
2026/4/10,4.317,3.6701,3.7952,3.9429,4.9091,3.6748,4.8973
2026/4/9,4.2754,3.6678,3.7667,3.8975,4.8806,3.6624,4.8631
2026/4/8,4.2911,3.6786,3.7855,3.9236,4.8826,3.6675,4.8745
2026/4/7,4.2931,3.6805,3.7877,3.9289,4.8704,3.6291,4.8719
2026/4/6,4.3307,3.7051,3.8478,3.983,4.8866,3.6945,4.8934
2026/4/2,4.3049,3.6894,3.7963,3.9463,4.8795,3.6545,4.8833
2026/4/1,4.3186,3.6867,3.801,3.9532,4.8978,3.6655,4.9009
2026/3/31,4.3166,3.6718,3.793,3.9427,4.9101,3.6548,4.9111
2026/3/30,4.3482,3.6811,3.8279,3.9845,4.9111,3.6966,4.9263
2026/3/27,4.4278,3.6792,3.9119,4.0684,4.9645,3.7452,4.9916
2026/3/26,4.4117,3.7056,3.9858,4.0912,4.9326,3.8134,4.962
2026/3/25,4.3322,3.7002,3.8852,3.9768,4.9009,3.7537,4.9135
2026/3/24,4.3599,3.6862,3.8887,3.9908,4.9274,3.7611,4.944
2026/3/23,4.342,3.6891,3.8519,3.9656,4.9131,3.7498,4.9364
2026/3/20,4.3796,3.6996,3.9001,4.0081,4.9377,3.7972,4.9709
2026/3/19,4.2493,3.69,3.7924,3.8779,4.8372,3.7154,4.8302
2026/3/18,4.265,3.6963,3.7729,3.876,4.8806,3.6814,4.8641
2026/3/17,4.1985,3.6807,3.6736,3.7894,4.8402,3.6193,4.8127
2026/3/16,4.216,3.6831,3.6711,3.7963,4.8664,3.6137,4.8402
2026/3/13,4.2767,3.6835,3.7169,3.8578,4.9039,3.6253,4.8893
2026/3/12,4.2609,3.6843,3.7407,3.8661,4.8816,3.6355,4.8653
